lat	long	Type
34.46037196	-75.71486025	HAPC Hard Bottom
34.46037196	-75.70986025	HAPC Hard Bottom
34.45537196	-75.71486025	HAPC Hard Bottom
34.45537196	-75.70986025	HAPC Hard Bottom
34.45037196	-75.71986025	HAPC Hard Bottom
34.45037196	-75.71486025	HAPC Hard Bottom
34.44537196	-75.72486025	HAPC Hard Bottom
34.44537196	-75.71986025	HAPC Hard Bottom
34.44537196	-75.71486025	HAPC Hard Bottom
34.44037196	-75.72986025	HAPC Hard Bottom
34.44037196	-75.72486025	HAPC Hard Bottom
34.44037196	-75.71986025	HAPC Hard Bottom
34.44037196	-75.71486025	HAPC Hard Bottom
34.43537196	-75.72986025	HAPC Hard Bottom
34.43537196	-75.72486025	HAPC Hard Bottom
34.43537196	-75.71986025	HAPC Hard Bottom
34.43037196	-75.73486025	HAPC Hard Bottom
34.43037196	-75.72986025	HAPC Hard Bottom
34.43037196	-75.72486025	HAPC Hard Bottom
34.42537196	-75.73986025	HAPC Hard Bottom
34.42537196	-75.73486025	HAPC Hard Bottom
34.42537196	-75.72986025	HAPC Hard Bottom
34.42537196	-75.72486025	HAPC Hard Bottom
34.42037196	-75.74486025	HAPC Hard Bottom
34.42037196	-75.73986025	HAPC Hard Bottom
34.42037196	-75.73486025	HAPC Hard Bottom
34.42037196	-75.72986025	HAPC Hard Bottom
34.41537196	-75.74486025	HAPC Hard Bottom
34.41537196	-75.73986025	HAPC Hard Bottom
34.41537196	-75.73486025	HAPC Hard Bottom
34.41037196	-75.74986025	HAPC Hard Bottom
34.41037196	-75.74486025	HAPC Hard Bottom
34.41037196	-75.73986025	HAPC Hard Bottom
34.40537196	-75.75486025	HAPC Hard Bottom
34.40537196	-75.74986025	HAPC Hard Bottom
34.40537196	-75.74486025	HAPC Hard Bottom
34.40537196	-75.73986025	HAPC Hard Bottom
34.40037196	-75.75986025	HAPC Hard Bottom
34.40037196	-75.75486025	HAPC Hard Bottom
34.40037196	-75.74986025	HAPC Hard Bottom
34.40037196	-75.74486025	HAPC Hard Bottom
34.39537196	-75.76486025	HAPC Hard Bottom
34.39537196	-75.75986025	HAPC Hard Bottom
34.39537196	-75.75486025	HAPC Hard Bottom
34.39537196	-75.74986025	HAPC Hard Bottom
34.39037196	-75.76986025	HAPC Hard Bottom
34.39037196	-75.76486025	HAPC Hard Bottom
34.39037196	-75.75986025	HAPC Hard Bottom
34.39037196	-75.75486025	HAPC Hard Bottom
34.39037196	-75.74986025	HAPC Hard Bottom
34.38537196	-75.77486025	HAPC Hard Bottom
34.38537196	-75.76986025	HAPC Hard Bottom
34.38537196	-75.76486025	HAPC Hard Bottom
34.38537196	-75.75986025	HAPC Hard Bottom
34.38537196	-75.75486025	HAPC Hard Bottom
34.38037196	-75.77986025	HAPC Hard Bottom
34.38037196	-75.77486025	HAPC Hard Bottom
34.38037196	-75.76986025	HAPC Hard Bottom
34.38037196	-75.76486025	HAPC Hard Bottom
