lat	long	Type
44.6225	-67.30083333	Prohibited MPAs
44.6175	-67.31083333	Prohibited MPAs
44.6175	-67.30583333	Prohibited MPAs
44.6175	-67.30083333	Prohibited MPAs
44.6175	-67.29583333	Prohibited MPAs
44.6175	-67.29083333	Prohibited MPAs
44.6125	-67.32083333	Prohibited MPAs
44.6125	-67.31083333	Prohibited MPAs
44.6125	-67.30583333	Prohibited MPAs
44.6125	-67.30083333	Prohibited MPAs
44.6125	-67.29583333	Prohibited MPAs
44.6125	-67.29083333	Prohibited MPAs
44.6125	-67.28583333	Prohibited MPAs
44.6125	-67.28083333	Prohibited MPAs
44.6125	-67.27583333	Prohibited MPAs
44.6125	-67.27083333	Prohibited MPAs
44.6075	-67.32083333	Prohibited MPAs
44.6075	-67.31583333	Prohibited MPAs
44.6075	-67.31083333	Prohibited MPAs
44.6075	-67.30583333	Prohibited MPAs
44.6075	-67.30083333	Prohibited MPAs
44.6075	-67.29583333	Prohibited MPAs
44.6075	-67.29083333	Prohibited MPAs
44.6075	-67.28583333	Prohibited MPAs
44.6075	-67.28083333	Prohibited MPAs
44.6025	-67.49083333	Prohibited MPAs
44.6025	-67.31583333	Prohibited MPAs
44.6025	-67.31083333	Prohibited MPAs
44.6025	-67.30583333	Prohibited MPAs
44.6025	-67.30083333	Prohibited MPAs
44.6025	-67.29583333	Prohibited MPAs
44.6025	-67.29083333	Prohibited MPAs
44.5725	-67.46083333	Prohibited MPAs
44.5725	-67.45583333	Prohibited MPAs
44.5575	-67.43583333	Prohibited MPAs
44.5075	-67.89083333	Prohibited MPAs
44.5075	-67.88583333	Prohibited MPAs
44.5075	-67.88083333	Prohibited MPAs
44.5075	-67.87083333	Prohibited MPAs
44.5025	-67.89083333	Prohibited MPAs
44.5025	-67.88583333	Prohibited MPAs
44.5025	-67.88083333	Prohibited MPAs
44.5025	-67.87583333	Prohibited MPAs
44.5025	-67.87083333	Prohibited MPAs
44.4975	-67.89083333	Prohibited MPAs
44.4975	-67.88583333	Prohibited MPAs
44.4975	-67.88083333	Prohibited MPAs
44.4975	-67.87583333	Prohibited MPAs
44.4975	-67.87083333	Prohibited MPAs
44.4975	-67.86583333	Prohibited MPAs
44.4975	-67.86083333	Prohibited MPAs
44.4925	-67.87083333	Prohibited MPAs
44.4825	-68.01583333	Prohibited MPAs
44.4825	-68.01083333	Prohibited MPAs
44.4825	-68.00583333	Prohibited MPAs
44.4775	-68.01583333	Prohibited MPAs
44.4775	-68.01083333	Prohibited MPAs
44.4775	-68.00583333	Prohibited MPAs
44.4725	-68.01083333	Prohibited MPAs
44.4675	-68.01583333	Prohibited MPAs
44.4675	-68.01083333	Prohibited MPAs
44.4675	-68.00583333	Prohibited MPAs
44.4575	-67.91083333	Prohibited MPAs
44.4575	-67.90583333	Prohibited MPAs
44.4525	-67.90583333	Prohibited MPAs
44.4525	-67.90083333	Prohibited MPAs
44.4525	-67.87083333	Prohibited MPAs
44.4525	-67.86583333	Prohibited MPAs
44.4475	-67.90583333	Prohibited MPAs
44.4475	-67.90083333	Prohibited MPAs
44.4475	-67.87083333	Prohibited MPAs
44.4475	-67.86583333	Prohibited MPAs
44.4425	-67.91083333	Prohibited MPAs
44.4425	-67.90583333	Prohibited MPAs
44.4425	-67.90083333	Prohibited MPAs
44.4425	-67.89583333	Prohibited MPAs
44.4425	-67.87583333	Prohibited MPAs
44.4425	-67.87083333	Prohibited MPAs
44.4425	-67.86583333	Prohibited MPAs
44.4375	-67.91083333	Prohibited MPAs
44.4375	-67.90583333	Prohibited MPAs
44.4375	-67.90083333	Prohibited MPAs
44.4375	-67.89583333	Prohibited MPAs
44.4375	-67.87083333	Prohibited MPAs
44.4375	-67.86583333	Prohibited MPAs
44.4375	-67.86083333	Prohibited MPAs
44.4325	-68.33583333	Prohibited MPAs
44.4325	-67.90583333	Prohibited MPAs
44.4325	-67.90083333	Prohibited MPAs
44.4325	-67.89583333	Prohibited MPAs
44.4325	-67.87083333	Prohibited MPAs
44.4325	-67.86583333	Prohibited MPAs
44.4325	-67.86083333	Prohibited MPAs
44.4325	-67.85583333	Prohibited MPAs
44.4275	-67.90583333	Prohibited MPAs
44.4275	-67.90083333	Prohibited MPAs
44.4275	-67.89583333	Prohibited MPAs
44.4275	-67.89083333	Prohibited MPAs
44.4275	-67.86583333	Prohibited MPAs
44.4275	-67.86083333	Prohibited MPAs
44.4275	-67.85583333	Prohibited MPAs
